Index,Type,CD1ArrivalTime(UTC+0),Start(UTC+0), End(UTC+0),Source,DataStation
0,DF,No Data,2013-07-22 16:30:00,2013-07-22 18:30:00,WSL,IGB02
1,F,No Data,2013-07-29 07:30:00,2013-07-29 15:00:00,WSL,IGB02
2,DF,No Data,2014-04-08 08:00:00,2014-04-08 18:00:00,GFZ,IGB02
3,DF,No Data,2014-04-26 22:30:00,2014-04-27 05:00:00,GFZ,IGB02
4,DF,No Data,2014-04-29 09:00:00,2014-04-29 15:00:00,GFZ,IGB02
5,DF,No Data,2014-04-30 10:00:00,2014-04-30 15:00:00,GFZ,IGB02
6,DF,No Data,2014-05-02 03:00:00,2014-05-02 13:00:00,GFZ,IGB02
7,DF,No Data,2014-05-07 15:30:00,2014-05-07 18:00:00,WSL,IGB02
8,DF,No Data,2014-05-23 03:00:00,2014-05-23 15:00:00,GFZ,IGB02
9,DF,No Data,2014-05-24 09:00:00,2014-05-24 15:00:00,GFZ,IGB02
10,DF,No Data,2014-05-27 05:30:00,2014-05-27 16:00:00,GFZ,IGB02
11,DF,No Data,2014-06-19 14:00:00,2014-06-19 16:00:00,GFZ,IGB02
12,DF,No Data,2014-06-23 18:00:00,2014-06-23 20:00:00,GFZ,IGB02
13,DF,No Data,2014-07-08 02:00:00,2014-07-08 14:00:00,WSL,IGB02
14,DF,No Data,2014-07-12 14:40:00,2014-07-12 18:00:00,WSL,IGB02
15,DF,No Data,2014-07-20 20:00:00,2014-07-21 03:00:00,WSL,IGB02
16,DF,No Data,2014-07-23 22:50:00,2014-07-24 05:00:00,WSL,IGB02
17,DF,No Data,2014-07-28 16:00:00,2014-07-28 20:50:00,WSL,IGB02
18,DF,No Data,2014-07-28 20:55:00,2014-07-29 06:00:00,WSL,IGB02
19,DF,No Data,2014-08-02 17:30:00,2014-08-02 21:30:00,GFZ,IGB02
20,DF,No Data,2014-08-08 18:30:00,2014-08-08 21:00:00,GFZ,IGB02
21,DF,No Data,2014-08-11 02:00:00,2014-08-11 18:00:00,GFZ,IGB02
22,DF,No Data,2014-08-13 04:30:00,2014-08-13 15:00:00,GFZ,IGB02
23,DF,No Data,2014-09-08 19:30:00,2014-09-08 23:00:00,WSL,IGB02
24,DF,2017-05-19 11:41:00,2017-05-19 12:00:00,2017-05-19 13:50:00,WSL,ILL02
25,DF,2017-05-29 16:58:31,2017-05-29 16:58:00,2017-05-29 18:45:00,WSL,ILL02
26,DF,2017-06-03 20:23:07,2017-06-03 20:25:00,2017-06-03 22:00:00,WSL,ILL02
27,DF,2017-06-03 23:27:38,2017-06-03 23:27:00,2017-06-04 01:10:00,WSL,ILL02
28,DF,2017-06-14 19:30:48,2017-06-14 19:30:00,2017-06-14 21:25:00,WSL,ILL02
29,DF,2018-06-11 10:46:39,2018-06-11 10:47:00,2018-06-11 11:50:00,WSL,ILL12
30,DF,2018-06-12 18:29:16,2018-06-12 18:30:00,2018-06-12 19:50:00,WSL,ILL12
31,DF,2018-07-25 16:56:40,2018-07-25 16:55:00,2018-07-25 18:00:00,WSL,ILL12
32,DF,2018-08-08 17:49:25,2018-08-08 17:45:00,2018-08-08 18:30:00,WSL,ILL12
33,DF,2019-06-10 17:02:51,2019-06-10 17:10:00,2019-06-10 19:20:00,WSL,ILL12
34,DF,2019-06-10 22:01:17,2019-06-10 21:55:00,2019-06-11 01:50:00,WSL,ILL12
35,DF,2019-06-20 09:12:17,2019-06-20 09:13:00,2019-06-20 10:50:00,WSL,ILL12
36,DF,2019-06-21 19:34:42,2019-06-21 19:20:00,2019-06-21 21:50:00,WSL,ILL12
37,DF,2019-07-01 23:00:29,2019-07-01 23:10:00,2019-07-02 01:30:00,WSL,ILL12
38,DF,2019-07-02 22:09:28,2019-07-02 22:09:00,2019-07-02 23:20:00,WSL,ILL12
39,DF,2019-07-03 16:43:15,2019-07-03 16:45:00,2019-07-03 17:55:00,WSL,ILL12
40,DF,2019-07-15 03:40:21,2019-07-15 03:35:00,2019-07-15 05:10:00,WSL,ILL12
41,DF,2019-07-26 17:33:12,2019-07-26 17:33:00,2019-07-26 18:50:00,WSL,ILL12
42,DF,2019-08-11 17:02:34,2019-08-11 17:00:00,2019-08-11 18:15:00,WSL,ILL12
43,DF,2019-08-20 16:40:59,2019-08-20 16:40:00,2019-08-20 18:00:00,WSL,ILL12
44,DF,2019-10-09 11:45:28,2019-10-09 11:45:00,2019-10-09 12:45:00,WSL,ILL12
45,DF,2019-10-15 16:10:50,2019-10-15 16:10:00,2019-10-15 16:55:00,WSL,ILL12
46,DF,No Data,2020-06-04 15:10:00,2020-06-04 17:35:00,WSL,ILL12
47,DF,No Data,2020-06-07 07:55:00,2020-06-07 10:15:00,WSL,ILL12
48,DF,No Data,2020-06-08 14:00:00,2020-06-08 15:15:00,WSL,ILL12
49,DF,No Data,2020-06-08 16:50:00,2020-06-08 18:25:00,WSL,ILL12
50,F?,No Data,2020-06-10 00:25:00,2020-06-10 01:20:00,WSL,ILL12
51,DF,No Data,2020-06-16 23:30:00,2020-06-17 00:00:00,WSL,ILL12
52,DF,No Data,2020-06-17 01:30:00,2020-06-17 02:45:00,WSL,ILL12
53,DF,No Data,2020-06-17 03:25:00,2020-06-17 05:20:00,WSL,ILL12
54,DF,No Data,2020-06-29 04:50:00,2020-06-29 06:20:00,WSL,ILL12
55,DF,No Data,2020-07-28 16:50:00,2020-07-28 18:30:00,WSL,ILL12
56,DF,No Data,2020-08-16 21:25:00,2020-08-16 22:50:00,WSL,ILL12
